user_id,tweet_id
747115642529132544,1323414943778091008
17480800,1323415147906392064
17480800,1323416071471198208
1271568481012588547,1323416099829010435
17480800,1323416192569077760
77098233,1323416649312161794
1266406478279303170,1323417098639581186
17480800,1323417134517547009
3368116613,1323417909222240257
104353919,1323419108575186948
1078457644736827392,1323419182864760832
77314692,1323419528899010561
879147821915615233,1323419662126702592
17152067,1323419736282193923
13850422,1323420153313415180
25847320,1323420537620713473
1047676701717798914,1323420631858372608
25847320,1323421020829736966
223166587,1323421177088409601
233842454,1323422275773861894
233842454,1323422294782390273
50769180,1323422504552222720
1640929196,1323423141683712001
15676944,1323423503786352640
62707926,1323423616948703233
371275553,1323423705104601094
51913011,1323423900571701248
14437914,1323424333436510209
50772918,1323424960837279744
74062637,1323425412085649408
1652541,1323425920443686912
16244449,1323426693529350145
1268688487403917313,1323427306405322752
2984591160,1323427909223272449
25694156,1323428025124352000
872148729184362497,1323428663484801025
14869615,1323428855311437825
2984591160,1323428957753139200
74508260,1323429539079442432
5392522,1323429733368037379
1289038422598803456,1323429874862755841
16068266,1323429988956327936
17477864,1323430061689708545
18020081,1323431294907355136
105829479,1323432250885722112
816201896,1323432287829184513
39308549,1323432882489204741
192060577,1323435511311118336
731167584,1323435935569076225
13850422,1323436129190875136
15450660,1323436484356091904
16369805,1323436880273297408
5741722,1323438525027655681
735794046396977153,1323438682922242051
20733972,1323438708742303744
942878337806032901,1323439014431653893
1036103780326993920,1323439695326449666
1289069825663414272,1323440229634740227
759251,1323440960878071808
17582355,1323441024765693954
734529918512439296,1323441224804634626
351059028,1323442148319121408
3825047847,1323443838736883713
27987151,1323443910618742784
339351467,1323444141783744513
5392522,1323444297874788353
163987185,1323444639899230209
15570923,1323444999464325120
216776631,1323445338317885448
4429709805,1323445834621530117
19268706,1323446563147046912
351059028,1323446612362932224
1463716194,1323446924763111432
2353605901,1323447746339217408
26137474,1323447847115755521
14869615,1323447978191998976
57389552,1323448664375918593
787392577,1323448718104944646
41410702,1323449372420526082
2800581040,1323449847442214912
1173843300911992832,1323450256818798598
3041509295,1323451229817737216
25518162,1323451388983078912
26598302,1323451398395224064
215207998,1323451500622995456
792096589191852033,1323451739643678720
216776631,1323451884343042049
3141672447,1323452256948088832
47455112,1323452457381466113
964323552890642432,1323452541120716800
964323552890642432,1323452681466368001
964323552890642432,1323452906276835330
964323552890642432,1323453525632962560
1084551805944676354,1323453741035638791
14857525,1323454622950981632
87679233,1323454829088432128
1640929196,1323454900098027520
964323552890642432,1323455275018391554
216776631,1323455350247432192
701081673681637376,1323455573996744706
2493013459,1323456328132677636
55948054,1323456860482113536
216776631,1323457368127131649
1282093322522243072,1323457469432139776
216776631,1323457742028316672
23903580,1323458180249083905
2993272394,1323458561117089798
1265761679947771905,1323459136798007301
216776631,1323459228569346048
885883417342205956,1323459422644015105
170254080,1323459886106161152
216776631,1323460649079447559
216776631,1323460978437169157
832616065259614209,1323461674658074625
377766775,1323462008117841923
2493013459,1323462243820937216
216776631,1323462631110385664
216776631,1323462876301004800
28745526,1323463615207231489
939091,1323463661235642369
216776631,1323464201558544384
44513878,1323464418051706880
1293552799108792323,1323464627490095105
216776631,1323464659903696897
431066477,1323465572974096384
3193546624,1323465646575775744
216776631,1323465716775952385
216776631,1323466078358556673
343823549,1323466136793604097
1273342283052724224,1323466881941032962
11134252,1323467072635047936
121574367,1323467153719386112
1222931765024710659,1323467479012835328
216776631,1323467702258880515
1462561717,1323468631066341377
1153603275306033152,1323468833034801153
15614141,1323468895638949888
216776631,1323468981949386752
998391777471197184,1323469196106354688
216776631,1323469207707787264
3044715749,1323469819736395777
1016349046276009985,1323470309408854016
24293471,1323470324483182592
193848880,1323470468364619776
88215673,1323470717028126720
2415053456,1323470796862480385
49471716,1323470948431994881
216776631,1323471037439365120
39653341,1323471159321632768
1359669194,1323471556509462528
767788995962998784,1323472127383789569
286998245,1323472317234765827
835944752159719424,1323472641953615872
1306582871092719617,1323472653089460229
835944752159719424,1323472725009141760
835944752159719424,1323472811810344961
4048040111,1323472892386897921
835944752159719424,1323472936641171456
835944752159719424,1323473093566861313
835944752159719424,1323473209824608262
701725963,1323473223976189955
835944752159719424,1323473297921708033
