user_id,tweet_count
130798456,1
633900194,1
149504801,1
1165438595227955201,1
41375491,1
771521,1
29540950,1
1689958531,1
14726609,1
418078400,1
22804865,1
815235053626093570,1
1114738242971209728,1
1228742510530486273,1
1749402631,1
18727106,1
23425127,1
6251432,1
1333194410822152199,1
2651517709,1
1077568544139890689,1
458681010,1
12219162,1
216936910,1
1220547798724116480,1
192770486,1
246658516,1
3103781204,1
51171054,1
7998482,1
267332891,1
117476073,1
919362366,1
963038778,1
41023170,1
19612969,1
105140723,1
322143316,1
573863902,1
14676436,1
58972284,1
917504280,1
780153108731047936,1
1148637193243697152,1
1007052675794513921,1
233656464,1
233589176,1
2293940731,1
182706535,1
17716548,1
1324530735240327169,1
15447907,1
29424701,1
22037129,1
1289357421652082689,1
3044739166,1
4699063596,1
4094909002,1
2802348596,1
61534021,1
22846618,1
87044545,1
17143007,1
839420851099471873,1
1183320106723614720,1
34652466,1
1330671042260467713,1
1254728767186051073,1
1245052192668536832,1
1141474611537702913,1
1151918567727804417,1
15571961,1
2166854322,1
3010056407,1
2312224767,1
1035573028414021634,1
133947893,1
64398599,1
4408326137,1
1052495270724993024,1
378231548,1
243949070,1
2859022449,1
132617134,1
3060905108,1
1265992389031858178,1
948738392338194432,1
811660085101400064,1
914318257615769600,1
72309604,1
343168631,1
356564509,1
32461021,1
1304960865519767552,1
563121672,1
471831519,1
806997017084002304,1
1066726365074874368,1
30315515,1
376378946,1
607403748,1
3237749759,1
1305577615512596487,1
32678822,1
248740056,1
1478730487,1
2970474872,1
378157547,1
23136887,1
328700027,1
636232688,1
470770363,1
1325191046108598272,1
789086267073933312,1
1423096471,1
796663225261682688,1
16642424,1
2797763865,1
318814102,1
16721835,1
1234906546406076417,1
33405866,1
829392882536689664,1
824132939390812160,1
259873788,1
17866318,1
1287717751,1
102244899,1
31476142,1
1077970982,1
47626551,1
17165559,1
884181861471309824,1
1092242415790899200,1
1129131248,1
416034466,1
103877706,1
1197342596198105088,1
1490509230,1
150564055,1
60243904,1
17683676,1
2227789817,1
893421475721596928,1
313938146,1
27789999,1
962213876,1
948688862,1
729724057340514305,1
